"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2017 00:00:00 - 01/01/2017 00:15:00","BZN|AT","Sequence 2","33.7","",""
"01/01/2017 00:15:00 - 01/01/2017 00:30:00","BZN|AT","Sequence 2","27.1","",""
"01/01/2017 00:30:00 - 01/01/2017 00:45:00","BZN|AT","Sequence 2","25.19","",""
"01/01/2017 00:45:00 - 01/01/2017 01:00:00","BZN|AT","Sequence 2","14.0","",""
"01/01/2017 01:00:00 - 01/01/2017 01:15:00","BZN|AT","Sequence 2","36.6","",""
"01/01/2017 01:15:00 - 01/01/2017 01:30:00","BZN|AT","Sequence 2","31.43","",""
"01/01/2017 01:30:00 - 01/01/2017 01:45:00","BZN|AT","Sequence 2","21.29","",""
"01/01/2017 01:45:00 - 01/01/2017 02:00:00","BZN|AT","Sequence 2","15.7","",""
"01/01/2017 02:00:00 - 01/01/2017 02:15:00","BZN|AT","Sequence 2","36.3","",""
"01/01/2017 02:15:00 - 01/01/2017 02:30:00","BZN|AT","Sequence 2","30.0","",""
"01/01/2017 02:30:00 - 01/01/2017 02:45:00","BZN|AT","Sequence 2","19.69","",""
"01/01/2017 02:45:00 - 01/01/2017 03:00:00","BZN|AT","Sequence 2","12.0","",""
"01/01/2017 03:00:00 - 01/01/2017 03:15:00","BZN|AT","Sequence 2","24.9","",""
"01/01/2017 03:15:00 - 01/01/2017 03:30:00","BZN|AT","Sequence 2","24.78","",""
"01/01/2017 03:30:00 - 01/01/2017 03:45:00","BZN|AT","Sequence 2","19.4","",""
"01/01/2017 03:45:00 - 01/01/2017 04:00:00","BZN|AT","Sequence 2","12.91","",""
"01/01/2017 04:00:00 - 01/01/2017 04:15:00","BZN|AT","Sequence 2","24.94","",""
"01/01/2017 04:15:00 - 01/01/2017 04:30:00","BZN|AT","Sequence 2","21.01","",""
"01/01/2017 04:30:00 - 01/01/2017 04:45:00","BZN|AT","Sequence 2","20.7","",""
"01/01/2017 04:45:00 - 01/01/2017 05:00:00","BZN|AT","Sequence 2","15.34","",""
"01/01/2017 05:00:00 - 01/01/2017 05:15:00","BZN|AT","Sequence 2","16.45","",""
"01/01/2017 05:15:00 - 01/01/2017 05:30:00","BZN|AT","Sequence 2","21.92","",""
"01/01/2017 05:30:00 - 01/01/2017 05:45:00","BZN|AT","Sequence 2","13.34","",""
"01/01/2017 05:45:00 - 01/01/2017 06:00:00","BZN|AT","Sequence 2","23.61","",""
"01/01/2017 06:00:00 - 01/01/2017 06:15:00","BZN|AT","Sequence 2","12.0","",""
"01/01/2017 06:15:00 - 01/01/2017 06:30:00","BZN|AT","Sequence 2","15.14","",""
"01/01/2017 06:30:00 - 01/01/2017 06:45:00","BZN|AT","Sequence 2","17.03","",""
"01/01/2017 06:45:00 - 01/01/2017 07:00:00","BZN|AT","Sequence 2","16.66","",""
"01/01/2017 07:00:00 - 01/01/2017 07:15:00","BZN|AT","Sequence 2","2.94","",""
"01/01/2017 07:15:00 - 01/01/2017 07:30:00","BZN|AT","Sequence 2","17.54","",""
"01/01/2017 07:30:00 - 01/01/2017 07:45:00","BZN|AT","Sequence 2","17.4","",""
"01/01/2017 07:45:00 - 01/01/2017 08:00:00","BZN|AT","Sequence 2","20.0","",""
"01/01/2017 08:00:00 - 01/01/2017 08:15:00","BZN|AT","Sequence 2","11.0","",""
"01/01/2017 08:15:00 - 01/01/2017 08:30:00","BZN|AT","Sequence 2","13.24","",""
"01/01/2017 08:30:00 - 01/01/2017 08:45:00","BZN|AT","Sequence 2","16.59","",""
"01/01/2017 08:45:00 - 01/01/2017 09:00:00","BZN|AT","Sequence 2","29.5","",""
"01/01/2017 09:00:00 - 01/01/2017 09:15:00","BZN|AT","Sequence 2","11.3","",""
"01/01/2017 09:15:00 - 01/01/2017 09:30:00","BZN|AT","Sequence 2","18.2","",""
"01/01/2017 09:30:00 - 01/01/2017 09:45:00","BZN|AT","Sequence 2","21.5","",""
"01/01/2017 09:45:00 - 01/01/2017 10:00:00","BZN|AT","Sequence 2","29.3","",""
"01/01/2017 10:00:00 - 01/01/2017 10:15:00","BZN|AT","Sequence 2","13.52","",""
"01/01/2017 10:15:00 - 01/01/2017 10:30:00","BZN|AT","Sequence 2","16.0","",""
"01/01/2017 10:30:00 - 01/01/2017 10:45:00","BZN|AT","Sequence 2","23.3","",""
"01/01/2017 10:45:00 - 01/01/2017 11:00:00","BZN|AT","Sequence 2","30.0","",""
"01/01/2017 11:00:00 - 01/01/2017 11:15:00","BZN|AT","Sequence 2","13.2","",""
"01/01/2017 11:15:00 - 01/01/2017 11:30:00","BZN|AT","Sequence 2","19.0","",""
"01/01/2017 11:30:00 - 01/01/2017 11:45:00","BZN|AT","Sequence 2","29.3","",""
"01/01/2017 11:45:00 - 01/01/2017 12:00:00","BZN|AT","Sequence 2","29.94","",""
"01/01/2017 12:00:00 - 01/01/2017 12:15:00","BZN|AT","Sequence 2","30.08","",""
"01/01/2017 12:15:00 - 01/01/2017 12:30:00","BZN|AT","Sequence 2","26.32","",""
"01/01/2017 12:30:00 - 01/01/2017 12:45:00","BZN|AT","Sequence 2","17.83","",""
"01/01/2017 12:45:00 - 01/01/2017 13:00:00","BZN|AT","Sequence 2","12.36","",""
"01/01/2017 13:00:00 - 01/01/2017 13:15:00","BZN|AT","Sequence 2","27.74","",""
"01/01/2017 13:15:00 - 01/01/2017 13:30:00","BZN|AT","Sequence 2","24.4","",""
"01/01/2017 13:30:00 - 01/01/2017 13:45:00","BZN|AT","Sequence 2","13.61","",""
"01/01/2017 13:45:00 - 01/01/2017 14:00:00","BZN|AT","Sequence 2","14.67","",""
"01/01/2017 14:00:00 - 01/01/2017 14:15:00","BZN|AT","Sequence 2","27.32","",""
"01/01/2017 14:15:00 - 01/01/2017 14:30:00","BZN|AT","Sequence 2","20.72","",""
"01/01/2017 14:30:00 - 01/01/2017 14:45:00","BZN|AT","Sequence 2","17.6","",""
"01/01/2017 14:45:00 - 01/01/2017 15:00:00","BZN|AT","Sequence 2","15.56","",""
"01/01/2017 15:00:00 - 01/01/2017 15:15:00","BZN|AT","Sequence 2","17.88","",""
"01/01/2017 15:15:00 - 01/01/2017 15:30:00","BZN|AT","Sequence 2","21.4","",""
"01/01/2017 15:30:00 - 01/01/2017 15:45:00","BZN|AT","Sequence 2","27.71","",""
"01/01/2017 15:45:00 - 01/01/2017 16:00:00","BZN|AT","Sequence 2","27.0","",""
"01/01/2017 16:00:00 - 01/01/2017 16:15:00","BZN|AT","Sequence 2","14.6","",""
"01/01/2017 16:15:00 - 01/01/2017 16:30:00","BZN|AT","Sequence 2","24.3","",""
"01/01/2017 16:30:00 - 01/01/2017 16:45:00","BZN|AT","Sequence 2","38.68","",""
"01/01/2017 16:45:00 - 01/01/2017 17:00:00","BZN|AT","Sequence 2","48.4","",""
"01/01/2017 17:00:00 - 01/01/2017 17:15:00","BZN|AT","Sequence 2","26.4","",""
"01/01/2017 17:15:00 - 01/01/2017 17:30:00","BZN|AT","Sequence 2","33.0","",""
"01/01/2017 17:30:00 - 01/01/2017 17:45:00","BZN|AT","Sequence 2","44.77","",""
"01/01/2017 17:45:00 - 01/01/2017 18:00:00","BZN|AT","Sequence 2","48.07","",""
"01/01/2017 18:00:00 - 01/01/2017 18:15:00","BZN|AT","Sequence 2","35.0","",""
"01/01/2017 18:15:00 - 01/01/2017 18:30:00","BZN|AT","Sequence 2","33.88","",""
"01/01/2017 18:30:00 - 01/01/2017 18:45:00","BZN|AT","Sequence 2","43.21","",""
"01/01/2017 18:45:00 - 01/01/2017 19:00:00","BZN|AT","Sequence 2","41.9","",""
"01/01/2017 19:00:00 - 01/01/2017 19:15:00","BZN|AT","Sequence 2","36.2","",""
"01/01/2017 19:15:00 - 01/01/2017 19:30:00","BZN|AT","Sequence 2","38.57","",""
"01/01/2017 19:30:00 - 01/01/2017 19:45:00","BZN|AT","Sequence 2","37.0","",""
"01/01/2017 19:45:00 - 01/01/2017 20:00:00","BZN|AT","Sequence 2","38.21","",""
"01/01/2017 20:00:00 - 01/01/2017 20:15:00","BZN|AT","Sequence 2","44.87","",""
"01/01/2017 20:15:00 - 01/01/2017 20:30:00","BZN|AT","Sequence 2","39.0","",""
"01/01/2017 20:30:00 - 01/01/2017 20:45:00","BZN|AT","Sequence 2","29.1","",""
"01/01/2017 20:45:00 - 01/01/2017 21:00:00","BZN|AT","Sequence 2","14.14","",""
"01/01/2017 21:00:00 - 01/01/2017 21:15:00","BZN|AT","Sequence 2","36.37","",""
"01/01/2017 21:15:00 - 01/01/2017 21:30:00","BZN|AT","Sequence 2","29.5","",""
"01/01/2017 21:30:00 - 01/01/2017 21:45:00","BZN|AT","Sequence 2","27.8","",""
"01/01/2017 21:45:00 - 01/01/2017 22:00:00","BZN|AT","Sequence 2","28.3","",""
"01/01/2017 22:00:00 - 01/01/2017 22:15:00","BZN|AT","Sequence 2","40.0","",""
"01/01/2017 22:15:00 - 01/01/2017 22:30:00","BZN|AT","Sequence 2","38.2","",""
"01/01/2017 22:30:00 - 01/01/2017 22:45:00","BZN|AT","Sequence 2","26.39","",""
"01/01/2017 22:45:00 - 01/01/2017 23:00:00","BZN|AT","Sequence 2","18.4","",""
"01/01/2017 23:00:00 - 01/01/2017 23:15:00","BZN|AT","Sequence 2","41.02","",""
"01/01/2017 23:15:00 - 01/01/2017 23:30:00","BZN|AT","Sequence 2","34.7","",""
"01/01/2017 23:30:00 - 01/01/2017 23:45:00","BZN|AT","Sequence 2","13.88","",""
