"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|CH","Without sequence","44.94","",""
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|CH","Without sequence","43.43","",""
"01/01/2015 02:00:00 - 01/01/2015 03:00:00","BZN|CH","Without sequence","38.08","",""
"01/01/2015 03:00:00 - 01/01/2015 04:00:00","BZN|CH","Without sequence","35.47","",""
"01/01/2015 04:00:00 - 01/01/2015 05:00:00","BZN|CH","Without sequence","30.83","",""
"01/01/2015 05:00:00 - 01/01/2015 06:00:00","BZN|CH","Without sequence","28.26","",""
"01/01/2015 06:00:00 - 01/01/2015 07:00:00","BZN|CH","Without sequence","25.36","",""
"01/01/2015 07:00:00 - 01/01/2015 08:00:00","BZN|CH","Without sequence","26.93","",""
"01/01/2015 08:00:00 - 01/01/2015 09:00:00","BZN|CH","Without sequence","24.95","",""
"01/01/2015 09:00:00 - 01/01/2015 10:00:00","BZN|CH","Without sequence","26.71","",""
"01/01/2015 10:00:00 - 01/01/2015 11:00:00","BZN|CH","Without sequence","30.04","",""
"01/01/2015 11:00:00 - 01/01/2015 12:00:00","BZN|CH","Without sequence","31.77","",""
"01/01/2015 12:00:00 - 01/01/2015 13:00:00","BZN|CH","Without sequence","35.09","",""
"01/01/2015 13:00:00 - 01/01/2015 14:00:00","BZN|CH","Without sequence","35.39","",""
"01/01/2015 14:00:00 - 01/01/2015 15:00:00","BZN|CH","Without sequence","31.47","",""
"01/01/2015 15:00:00 - 01/01/2015 16:00:00","BZN|CH","Without sequence","29.08","",""
"01/01/2015 16:00:00 - 01/01/2015 17:00:00","BZN|CH","Without sequence","31.03","",""
"01/01/2015 17:00:00 - 01/01/2015 18:00:00","BZN|CH","Without sequence","39.09","",""
"01/01/2015 18:00:00 - 01/01/2015 19:00:00","BZN|CH","Without sequence","47.82","",""
"01/01/2015 19:00:00 - 01/01/2015 20:00:00","BZN|CH","Without sequence","50.75","",""
"01/01/2015 20:00:00 - 01/01/2015 21:00:00","BZN|CH","Without sequence","49.3","",""
"01/01/2015 21:00:00 - 01/01/2015 22:00:00","BZN|CH","Without sequence","48.24","",""
"01/01/2015 22:00:00 - 01/01/2015 23:00:00","BZN|CH","Without sequence","49.04","",""
"01/01/2015 23:00:00 - 02/01/2015 00:00:00","BZN|CH","Without sequence","46.14","",""
"02/01/2015 00:00:00 - 02/01/2015 01:00:00","BZN|CH","Without sequence","42.29","",""
"02/01/2015 01:00:00 - 02/01/2015 02:00:00","BZN|CH","Without sequence","38.1","",""
"02/01/2015 02:00:00 - 02/01/2015 03:00:00","BZN|CH","Without sequence","38.03","",""
"02/01/2015 03:00:00 - 02/01/2015 04:00:00","BZN|CH","Without sequence","32.06","",""
"02/01/2015 04:00:00 - 02/01/2015 05:00:00","BZN|CH","Without sequence","27.66","",""
"02/01/2015 05:00:00 - 02/01/2015 06:00:00","BZN|CH","Without sequence","28.0","",""
"02/01/2015 06:00:00 - 02/01/2015 07:00:00","BZN|CH","Without sequence","33.44","",""
"02/01/2015 07:00:00 - 02/01/2015 08:00:00","BZN|CH","Without sequence","37.1","",""
"02/01/2015 08:00:00 - 02/01/2015 09:00:00","BZN|CH","Without sequence","39.34","",""
"02/01/2015 09:00:00 - 02/01/2015 10:00:00","BZN|CH","Without sequence","41.82","",""
"02/01/2015 10:00:00 - 02/01/2015 11:00:00","BZN|CH","Without sequence","42.19","",""
"02/01/2015 11:00:00 - 02/01/2015 12:00:00","BZN|CH","Without sequence","43.0","",""
"02/01/2015 12:00:00 - 02/01/2015 13:00:00","BZN|CH","Without sequence","44.02","",""
"02/01/2015 13:00:00 - 02/01/2015 14:00:00","BZN|CH","Without sequence","42.48","",""
"02/01/2015 14:00:00 - 02/01/2015 15:00:00","BZN|CH","Without sequence","39.12","",""
"02/01/2015 15:00:00 - 02/01/2015 16:00:00","BZN|CH","Without sequence","38.05","",""
"02/01/2015 16:00:00 - 02/01/2015 17:00:00","BZN|CH","Without sequence","39.49","",""
"02/01/2015 17:00:00 - 02/01/2015 18:00:00","BZN|CH","Without sequence","47.91","",""
"02/01/2015 18:00:00 - 02/01/2015 19:00:00","BZN|CH","Without sequence","52.88","",""
"02/01/2015 19:00:00 - 02/01/2015 20:00:00","BZN|CH","Without sequence","52.96","",""
"02/01/2015 20:00:00 - 02/01/2015 21:00:00","BZN|CH","Without sequence","49.91","",""
"02/01/2015 21:00:00 - 02/01/2015 22:00:00","BZN|CH","Without sequence","48.93","",""
"02/01/2015 22:00:00 - 02/01/2015 23:00:00","BZN|CH","Without sequence","50.0","",""
"02/01/2015 23:00:00 - 03/01/2015 00:00:00","BZN|CH","Without sequence","49.86","",""
"03/01/2015 00:00:00 - 03/01/2015 01:00:00","BZN|CH","Without sequence","39.48","",""
"03/01/2015 01:00:00 - 03/01/2015 02:00:00","BZN|CH","Without sequence","37.01","",""
"03/01/2015 02:00:00 - 03/01/2015 03:00:00","BZN|CH","Without sequence","35.61","",""
"03/01/2015 03:00:00 - 03/01/2015 04:00:00","BZN|CH","Without sequence","29.28","",""
