"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|CH","Without sequence","102.2","",""
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|CH","Without sequence","98.2","",""
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|CH","Without sequence","72.6","",""
"01/01/2025 03:00:00 - 01/01/2025 04:00:00","BZN|CH","Without sequence","67.85","",""
"01/01/2025 04:00:00 - 01/01/2025 05:00:00","BZN|CH","Without sequence","62.87","",""
"01/01/2025 05:00:00 - 01/01/2025 06:00:00","BZN|CH","Without sequence","58.99","",""
"01/01/2025 06:00:00 - 01/01/2025 07:00:00","BZN|CH","Without sequence","68.57","",""
"01/01/2025 07:00:00 - 01/01/2025 08:00:00","BZN|CH","Without sequence","74.03","",""
"01/01/2025 08:00:00 - 01/01/2025 09:00:00","BZN|CH","Without sequence","76.55","",""
"01/01/2025 09:00:00 - 01/01/2025 10:00:00","BZN|CH","Without sequence","88.1","",""
"01/01/2025 10:00:00 - 01/01/2025 11:00:00","BZN|CH","Without sequence","85.73","",""
"01/01/2025 11:00:00 - 01/01/2025 12:00:00","BZN|CH","Without sequence","75.8","",""
"01/01/2025 12:00:00 - 01/01/2025 13:00:00","BZN|CH","Without sequence","70.74","",""
"01/01/2025 13:00:00 - 01/01/2025 14:00:00","BZN|CH","Without sequence","68.38","",""
"01/01/2025 14:00:00 - 01/01/2025 15:00:00","BZN|CH","Without sequence","65.05","",""
"01/01/2025 15:00:00 - 01/01/2025 16:00:00","BZN|CH","Without sequence","82.71","",""
"01/01/2025 16:00:00 - 01/01/2025 17:00:00","BZN|CH","Without sequence","104.1","",""
"01/01/2025 17:00:00 - 01/01/2025 18:00:00","BZN|CH","Without sequence","107.3","",""
"01/01/2025 18:00:00 - 01/01/2025 19:00:00","BZN|CH","Without sequence","108.2","",""
"01/01/2025 19:00:00 - 01/01/2025 20:00:00","BZN|CH","Without sequence","106.18","",""
"01/01/2025 20:00:00 - 01/01/2025 21:00:00","BZN|CH","Without sequence","102.83","",""
"01/01/2025 21:00:00 - 01/01/2025 22:00:00","BZN|CH","Without sequence","102.33","",""
"01/01/2025 22:00:00 - 01/01/2025 23:00:00","BZN|CH","Without sequence","103.56","",""
"01/01/2025 23:00:00 - 02/01/2025 00:00:00","BZN|CH","Without sequence","102.74","",""
"02/01/2025 00:00:00 - 02/01/2025 01:00:00","BZN|CH","Without sequence","108.93","",""
"02/01/2025 01:00:00 - 02/01/2025 02:00:00","BZN|CH","Without sequence","109.49","",""
"02/01/2025 02:00:00 - 02/01/2025 03:00:00","BZN|CH","Without sequence","107.7","",""
"02/01/2025 03:00:00 - 02/01/2025 04:00:00","BZN|CH","Without sequence","107.0","",""
"02/01/2025 04:00:00 - 02/01/2025 05:00:00","BZN|CH","Without sequence","106.3","",""
"02/01/2025 05:00:00 - 02/01/2025 06:00:00","BZN|CH","Without sequence","106.82","",""
"02/01/2025 06:00:00 - 02/01/2025 07:00:00","BZN|CH","Without sequence","110.95","",""
"02/01/2025 07:00:00 - 02/01/2025 08:00:00","BZN|CH","Without sequence","125.37","",""
"02/01/2025 08:00:00 - 02/01/2025 09:00:00","BZN|CH","Without sequence","132.08","",""
"02/01/2025 09:00:00 - 02/01/2025 10:00:00","BZN|CH","Without sequence","133.4","",""
"02/01/2025 10:00:00 - 02/01/2025 11:00:00","BZN|CH","Without sequence","130.97","",""
"02/01/2025 11:00:00 - 02/01/2025 12:00:00","BZN|CH","Without sequence","127.45","",""
"02/01/2025 12:00:00 - 02/01/2025 13:00:00","BZN|CH","Without sequence","124.81","",""
"02/01/2025 13:00:00 - 02/01/2025 14:00:00","BZN|CH","Without sequence","126.35","",""
"02/01/2025 14:00:00 - 02/01/2025 15:00:00","BZN|CH","Without sequence","128.95","",""
"02/01/2025 15:00:00 - 02/01/2025 16:00:00","BZN|CH","Without sequence","134.59","",""
"02/01/2025 16:00:00 - 02/01/2025 17:00:00","BZN|CH","Without sequence","138.13","",""
"02/01/2025 17:00:00 - 02/01/2025 18:00:00","BZN|CH","Without sequence","143.59","",""
"02/01/2025 18:00:00 - 02/01/2025 19:00:00","BZN|CH","Without sequence","144.57","",""
"02/01/2025 19:00:00 - 02/01/2025 20:00:00","BZN|CH","Without sequence","141.12","",""
"02/01/2025 20:00:00 - 02/01/2025 21:00:00","BZN|CH","Without sequence","135.32","",""
"02/01/2025 21:00:00 - 02/01/2025 22:00:00","BZN|CH","Without sequence","125.73","",""
"02/01/2025 22:00:00 - 02/01/2025 23:00:00","BZN|CH","Without sequence","125.85","",""
"02/01/2025 23:00:00 - 03/01/2025 00:00:00","BZN|CH","Without sequence","115.99","",""
"03/01/2025 00:00:00 - 03/01/2025 01:00:00","BZN|CH","Without sequence","108.58","",""
"03/01/2025 01:00:00 - 03/01/2025 02:00:00","BZN|CH","Without sequence","107.16","",""
"03/01/2025 02:00:00 - 03/01/2025 03:00:00","BZN|CH","Without sequence","106.82","",""
"03/01/2025 03:00:00 - 03/01/2025 04:00:00","BZN|CH","Without sequence","104.43","",""
"03/01/2025 04:00:00 - 03/01/2025 05:00:00","BZN|CH","Without sequence","105.74","",""
"03/01/2025 05:00:00 - 03/01/2025 06:00:00","BZN|CH","Without sequence","110.43","",""
"03/01/2025 06:00:00 - 03/01/2025 07:00:00","BZN|CH","Without sequence","118.32","",""
"03/01/2025 07:00:00 - 03/01/2025 08:00:00","BZN|CH","Without sequence","127.4","",""
"03/01/2025 08:00:00 - 03/01/2025 09:00:00","BZN|CH","Without sequence","135.08","",""
"03/01/2025 09:00:00 - 03/01/2025 10:00:00","BZN|CH","Without sequence","134.13","",""
"03/01/2025 10:00:00 - 03/01/2025 11:00:00","BZN|CH","Without sequence","131.0","",""
"03/01/2025 11:00:00 - 03/01/2025 12:00:00","BZN|CH","Without sequence","126.31","",""
"03/01/2025 12:00:00 - 03/01/2025 13:00:00","BZN|CH","Without sequence","121.69","",""
"03/01/2025 13:00:00 - 03/01/2025 14:00:00","BZN|CH","Without sequence","120.04","",""
"03/01/2025 14:00:00 - 03/01/2025 15:00:00","BZN|CH","Without sequence","121.01","",""
"03/01/2025 15:00:00 - 03/01/2025 16:00:00","BZN|CH","Without sequence","128.61","",""
"03/01/2025 16:00:00 - 03/01/2025 17:00:00","BZN|CH","Without sequence","137.46","",""
"03/01/2025 17:00:00 - 03/01/2025 18:00:00","BZN|CH","Without sequence","146.44","",""
"03/01/2025 18:00:00 - 03/01/2025 19:00:00","BZN|CH","Without sequence","146.29","",""
"03/01/2025 19:00:00 - 03/01/2025 20:00:00","BZN|CH","Without sequence","143.9","",""
"03/01/2025 20:00:00 - 03/01/2025 21:00:00","BZN|CH","Without sequence","137.92","",""
"03/01/2025 21:00:00 - 03/01/2025 22:00:00","BZN|CH","Without sequence","131.06","",""
"03/01/2025 22:00:00 - 03/01/2025 23:00:00","BZN|CH","Without sequence","129.81","",""
"03/01/2025 23:00:00 - 04/01/2025 00:00:00","BZN|CH","Without sequence","126.99","",""
"04/01/2025 00:00:00 - 04/01/2025 01:00:00","BZN|CH","Without sequence","120.59","",""
"04/01/2025 01:00:00 - 04/01/2025 02:00:00","BZN|CH","Without sequence","119.25","",""
"04/01/2025 02:00:00 - 04/01/2025 03:00:00","BZN|CH","Without sequence","114.93","",""
"04/01/2025 03:00:00 - 04/01/2025 04:00:00","BZN|CH","Without sequence","110.68","",""
"04/01/2025 04:00:00 - 04/01/2025 05:00:00","BZN|CH","Without sequence","110.28","",""
"04/01/2025 05:00:00 - 04/01/2025 06:00:00","BZN|CH","Without sequence","111.06","",""
"04/01/2025 06:00:00 - 04/01/2025 07:00:00","BZN|CH","Without sequence","119.2","",""
"04/01/2025 07:00:00 - 04/01/2025 08:00:00","BZN|CH","Without sequence","126.11","",""
"04/01/2025 08:00:00 - 04/01/2025 09:00:00","BZN|CH","Without sequence","132.07","",""
"04/01/2025 09:00:00 - 04/01/2025 10:00:00","BZN|CH","Without sequence","133.57","",""
"04/01/2025 10:00:00 - 04/01/2025 11:00:00","BZN|CH","Without sequence","131.06","",""
"04/01/2025 11:00:00 - 04/01/2025 12:00:00","BZN|CH","Without sequence","126.09","",""
"04/01/2025 12:00:00 - 04/01/2025 13:00:00","BZN|CH","Without sequence","124.93","",""
"04/01/2025 13:00:00 - 04/01/2025 14:00:00","BZN|CH","Without sequence","126.09","",""
"04/01/2025 14:00:00 - 04/01/2025 15:00:00","BZN|CH","Without sequence","128.47","",""
"04/01/2025 15:00:00 - 04/01/2025 16:00:00","BZN|CH","Without sequence","136.84","",""
"04/01/2025 16:00:00 - 04/01/2025 17:00:00","BZN|CH","Without sequence","144.26","",""
"04/01/2025 17:00:00 - 04/01/2025 18:00:00","BZN|CH","Without sequence","152.62","",""
"04/01/2025 18:00:00 - 04/01/2025 19:00:00","BZN|CH","Without sequence","147.76","",""
"04/01/2025 19:00:00 - 04/01/2025 20:00:00","BZN|CH","Without sequence","140.82","",""
"04/01/2025 20:00:00 - 04/01/2025 21:00:00","BZN|CH","Without sequence","134.39","",""
"04/01/2025 21:00:00 - 04/01/2025 22:00:00","BZN|CH","Without sequence","126.95","",""
"04/01/2025 22:00:00 - 04/01/2025 23:00:00","BZN|CH","Without sequence","126.1","",""
"04/01/2025 23:00:00 - 05/01/2025 00:00:00","BZN|CH","Without sequence","119.21","",""
"05/01/2025 00:00:00 - 05/01/2025 01:00:00","BZN|CH","Without sequence","119.4","",""
"05/01/2025 01:00:00 - 05/01/2025 02:00:00","BZN|CH","Without sequence","114.11","",""
"05/01/2025 02:00:00 - 05/01/2025 03:00:00","BZN|CH","Without sequence","110.07","",""
"05/01/2025 03:00:00 - 05/01/2025 04:00:00","BZN|CH","Without sequence","105.83","",""
"05/01/2025 04:00:00 - 05/01/2025 05:00:00","BZN|CH","Without sequence","107.53","",""
"05/01/2025 05:00:00 - 05/01/2025 06:00:00","BZN|CH","Without sequence","115.1","",""
"05/01/2025 06:00:00 - 05/01/2025 07:00:00","BZN|CH","Without sequence","119.94","",""
"05/01/2025 07:00:00 - 05/01/2025 08:00:00","BZN|CH","Without sequence","124.22","",""
"05/01/2025 08:00:00 - 05/01/2025 09:00:00","BZN|CH","Without sequence","127.8","",""
"05/01/2025 09:00:00 - 05/01/2025 10:00:00","BZN|CH","Without sequence","129.11","",""
"05/01/2025 10:00:00 - 05/01/2025 11:00:00","BZN|CH","Without sequence","128.02","",""
"05/01/2025 11:00:00 - 05/01/2025 12:00:00","BZN|CH","Without sequence","126.77","",""
"05/01/2025 12:00:00 - 05/01/2025 13:00:00","BZN|CH","Without sequence","126.1","",""
"05/01/2025 13:00:00 - 05/01/2025 14:00:00","BZN|CH","Without sequence","126.36","",""
"05/01/2025 14:00:00 - 05/01/2025 15:00:00","BZN|CH","Without sequence","130.16","",""
"05/01/2025 15:00:00 - 05/01/2025 16:00:00","BZN|CH","Without sequence","132.1","",""
"05/01/2025 16:00:00 - 05/01/2025 17:00:00","BZN|CH","Without sequence","133.39","",""
"05/01/2025 17:00:00 - 05/01/2025 18:00:00","BZN|CH","Without sequence","132.93","",""
"05/01/2025 18:00:00 - 05/01/2025 19:00:00","BZN|CH","Without sequence","132.8","",""
"05/01/2025 19:00:00 - 05/01/2025 20:00:00","BZN|CH","Without sequence","131.7","",""
"05/01/2025 20:00:00 - 05/01/2025 21:00:00","BZN|CH","Without sequence","127.19","",""
"05/01/2025 21:00:00 - 05/01/2025 22:00:00","BZN|CH","Without sequence","117.88","",""
"05/01/2025 22:00:00 - 05/01/2025 23:00:00","BZN|CH","Without sequence","119.41","",""
"05/01/2025 23:00:00 - 06/01/2025 00:00:00","BZN|CH","Without sequence","120.01","",""
"06/01/2025 00:00:00 - 06/01/2025 01:00:00","BZN|CH","Without sequence","115.69","",""
"06/01/2025 01:00:00 - 06/01/2025 02:00:00","BZN|CH","Without sequence","105.95","",""
"06/01/2025 02:00:00 - 06/01/2025 03:00:00","BZN|CH","Without sequence","98.58","",""
"06/01/2025 03:00:00 - 06/01/2025 04:00:00","BZN|CH","Without sequence","94.81","",""
"06/01/2025 04:00:00 - 06/01/2025 05:00:00","BZN|CH","Without sequence","98.69","",""
"06/01/2025 05:00:00 - 06/01/2025 06:00:00","BZN|CH","Without sequence","112.34","",""
"06/01/2025 06:00:00 - 06/01/2025 07:00:00","BZN|CH","Without sequence","123.07","",""
"06/01/2025 07:00:00 - 06/01/2025 08:00:00","BZN|CH","Without sequence","132.41","",""
"06/01/2025 08:00:00 - 06/01/2025 09:00:00","BZN|CH","Without sequence","132.44","",""
"06/01/2025 09:00:00 - 06/01/2025 10:00:00","BZN|CH","Without sequence","132.8","",""
"06/01/2025 10:00:00 - 06/01/2025 11:00:00","BZN|CH","Without sequence","130.65","",""
"06/01/2025 11:00:00 - 06/01/2025 12:00:00","BZN|CH","Without sequence","128.06","",""
"06/01/2025 12:00:00 - 06/01/2025 13:00:00","BZN|CH","Without sequence","123.41","",""
"06/01/2025 13:00:00 - 06/01/2025 14:00:00","BZN|CH","Without sequence","123.41","",""
"06/01/2025 14:00:00 - 06/01/2025 15:00:00","BZN|CH","Without sequence","127.91","",""
"06/01/2025 15:00:00 - 06/01/2025 16:00:00","BZN|CH","Without sequence","137.19","",""
"06/01/2025 16:00:00 - 06/01/2025 17:00:00","BZN|CH","Without sequence","137.05","",""
"06/01/2025 17:00:00 - 06/01/2025 18:00:00","BZN|CH","Without sequence","139.99","",""
"06/01/2025 18:00:00 - 06/01/2025 19:00:00","BZN|CH","Without sequence","137.5","",""
"06/01/2025 19:00:00 - 06/01/2025 20:00:00","BZN|CH","Without sequence","134.91","",""
"06/01/2025 20:00:00 - 06/01/2025 21:00:00","BZN|CH","Without sequence","129.8","",""
"06/01/2025 21:00:00 - 06/01/2025 22:00:00","BZN|CH","Without sequence","128.88","",""
"06/01/2025 22:00:00 - 06/01/2025 23:00:00","BZN|CH","Without sequence","125.88","",""
"06/01/2025 23:00:00 - 07/01/2025 00:00:00","BZN|CH","Without sequence","122.13","",""
"07/01/2025 00:00:00 - 07/01/2025 01:00:00","BZN|CH","Without sequence","118.51","",""
"07/01/2025 01:00:00 - 07/01/2025 02:00:00","BZN|CH","Without sequence","115.19","",""
"07/01/2025 02:00:00 - 07/01/2025 03:00:00","BZN|CH","Without sequence","115.86","",""
"07/01/2025 03:00:00 - 07/01/2025 04:00:00","BZN|CH","Without sequence","115.35","",""
"07/01/2025 04:00:00 - 07/01/2025 05:00:00","BZN|CH","Without sequence","111.27","",""
"07/01/2025 05:00:00 - 07/01/2025 06:00:00","BZN|CH","Without sequence","118.4","",""
"07/01/2025 06:00:00 - 07/01/2025 07:00:00","BZN|CH","Without sequence","124.39","",""
"07/01/2025 07:00:00 - 07/01/2025 08:00:00","BZN|CH","Without sequence","131.69","",""
"07/01/2025 08:00:00 - 07/01/2025 09:00:00","BZN|CH","Without sequence","138.4","",""
"07/01/2025 09:00:00 - 07/01/2025 10:00:00","BZN|CH","Without sequence","134.5","",""
"07/01/2025 10:00:00 - 07/01/2025 11:00:00","BZN|CH","Without sequence","133.78","",""
"07/01/2025 11:00:00 - 07/01/2025 12:00:00","BZN|CH","Without sequence","136.04","",""
"07/01/2025 12:00:00 - 07/01/2025 13:00:00","BZN|CH","Without sequence","131.54","",""
"07/01/2025 13:00:00 - 07/01/2025 14:00:00","BZN|CH","Without sequence","129.2","",""
"07/01/2025 14:00:00 - 07/01/2025 15:00:00","BZN|CH","Without sequence","134.05","",""
"07/01/2025 15:00:00 - 07/01/2025 16:00:00","BZN|CH","Without sequence","140.6","",""
"07/01/2025 16:00:00 - 07/01/2025 17:00:00","BZN|CH","Without sequence","145.89","",""
"07/01/2025 17:00:00 - 07/01/2025 18:00:00","BZN|CH","Without sequence","145.9","",""
"07/01/2025 18:00:00 - 07/01/2025 19:00:00","BZN|CH","Without sequence","142.06","",""
"07/01/2025 19:00:00 - 07/01/2025 20:00:00","BZN|CH","Without sequence","139.97","",""
"07/01/2025 20:00:00 - 07/01/2025 21:00:00","BZN|CH","Without sequence","135.0","",""
"07/01/2025 21:00:00 - 07/01/2025 22:00:00","BZN|CH","Without sequence","131.9","",""
"07/01/2025 22:00:00 - 07/01/2025 23:00:00","BZN|CH","Without sequence","131.9","",""
"07/01/2025 23:00:00 - 08/01/2025 00:00:00","BZN|CH","Without sequence","128.02","",""
"08/01/2025 00:00:00 - 08/01/2025 01:00:00","BZN|CH","Without sequence","115.19","",""
"08/01/2025 01:00:00 - 08/01/2025 02:00:00","BZN|CH","Without sequence","109.69","",""
"08/01/2025 02:00:00 - 08/01/2025 03:00:00","BZN|CH","Without sequence","104.36","",""
"08/01/2025 03:00:00 - 08/01/2025 04:00:00","BZN|CH","Without sequence","102.32","",""
"08/01/2025 04:00:00 - 08/01/2025 05:00:00","BZN|CH","Without sequence","103.28","",""
"08/01/2025 05:00:00 - 08/01/2025 06:00:00","BZN|CH","Without sequence","117.28","",""
"08/01/2025 06:00:00 - 08/01/2025 07:00:00","BZN|CH","Without sequence","129.85","",""
"08/01/2025 07:00:00 - 08/01/2025 08:00:00","BZN|CH","Without sequence","136.03","",""
"08/01/2025 08:00:00 - 08/01/2025 09:00:00","BZN|CH","Without sequence","138.4","",""
"08/01/2025 09:00:00 - 08/01/2025 10:00:00","BZN|CH","Without sequence","135.24","",""
"08/01/2025 10:00:00 - 08/01/2025 11:00:00","BZN|CH","Without sequence","134.65","",""
"08/01/2025 11:00:00 - 08/01/2025 12:00:00","BZN|CH","Without sequence","131.28","",""
"08/01/2025 12:00:00 - 08/01/2025 13:00:00","BZN|CH","Without sequence","127.71","",""
"08/01/2025 13:00:00 - 08/01/2025 14:00:00","BZN|CH","Without sequence","128.69","",""
"08/01/2025 14:00:00 - 08/01/2025 15:00:00","BZN|CH","Without sequence","135.39","",""
"08/01/2025 15:00:00 - 08/01/2025 16:00:00","BZN|CH","Without sequence","143.24","",""
"08/01/2025 16:00:00 - 08/01/2025 17:00:00","BZN|CH","Without sequence","146.11","",""
"08/01/2025 17:00:00 - 08/01/2025 18:00:00","BZN|CH","Without sequence","146.57","",""
"08/01/2025 18:00:00 - 08/01/2025 19:00:00","BZN|CH","Without sequence","150.34","",""
"08/01/2025 19:00:00 - 08/01/2025 20:00:00","BZN|CH","Without sequence","141.74","",""
"08/01/2025 20:00:00 - 08/01/2025 21:00:00","BZN|CH","Without sequence","134.91","",""
"08/01/2025 21:00:00 - 08/01/2025 22:00:00","BZN|CH","Without sequence","128.27","",""
"08/01/2025 22:00:00 - 08/01/2025 23:00:00","BZN|CH","Without sequence","126.98","",""
"08/01/2025 23:00:00 - 09/01/2025 00:00:00","BZN|CH","Without sequence","118.91","",""
"09/01/2025 00:00:00 - 09/01/2025 01:00:00","BZN|CH","Without sequence","117.59","",""
"09/01/2025 01:00:00 - 09/01/2025 02:00:00","BZN|CH","Without sequence","109.81","",""
"09/01/2025 02:00:00 - 09/01/2025 03:00:00","BZN|CH","Without sequence","102.08","",""
"09/01/2025 03:00:00 - 09/01/2025 04:00:00","BZN|CH","Without sequence","101.93","",""
"09/01/2025 04:00:00 - 09/01/2025 05:00:00","BZN|CH","Without sequence","102.53","",""
"09/01/2025 05:00:00 - 09/01/2025 06:00:00","BZN|CH","Without sequence","113.81","",""
"09/01/2025 06:00:00 - 09/01/2025 07:00:00","BZN|CH","Without sequence","132.54","",""
"09/01/2025 07:00:00 - 09/01/2025 08:00:00","BZN|CH","Without sequence","151.57","",""
"09/01/2025 08:00:00 - 09/01/2025 09:00:00","BZN|CH","Without sequence","170.52","",""
"09/01/2025 09:00:00 - 09/01/2025 10:00:00","BZN|CH","Without sequence","151.0","",""
"09/01/2025 10:00:00 - 09/01/2025 11:00:00","BZN|CH","Without sequence","149.38","",""
"09/01/2025 11:00:00 - 09/01/2025 12:00:00","BZN|CH","Without sequence","144.38","",""
"09/01/2025 12:00:00 - 09/01/2025 13:00:00","BZN|CH","Without sequence","138.9","",""
"09/01/2025 13:00:00 - 09/01/2025 14:00:00","BZN|CH","Without sequence","134.69","",""
