"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|FR","Without sequence","51.0","",""
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|FR","Without sequence","46.27","",""
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|FR","Without sequence","39.78","",""
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|FR","Without sequence","27.87","",""
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|FR","Without sequence","23.21","",""
"01/01/2019 05:00:00 - 01/01/2019 06:00:00","BZN|FR","Without sequence","22.64","",""
"01/01/2019 06:00:00 - 01/01/2019 07:00:00","BZN|FR","Without sequence","20.9","",""
"01/01/2019 07:00:00 - 01/01/2019 08:00:00","BZN|FR","Without sequence","26.54","",""
"01/01/2019 08:00:00 - 01/01/2019 09:00:00","BZN|FR","Without sequence","25.0","",""
"01/01/2019 09:00:00 - 01/01/2019 10:00:00","BZN|FR","Without sequence","25.0","",""
"01/01/2019 10:00:00 - 01/01/2019 11:00:00","BZN|FR","Without sequence","34.64","",""
"01/01/2019 11:00:00 - 01/01/2019 12:00:00","BZN|FR","Without sequence","41.03","",""
"01/01/2019 12:00:00 - 01/01/2019 13:00:00","BZN|FR","Without sequence","48.97","",""
"01/01/2019 13:00:00 - 01/01/2019 14:00:00","BZN|FR","Without sequence","41.06","",""
"01/01/2019 14:00:00 - 01/01/2019 15:00:00","BZN|FR","Without sequence","37.95","",""
"01/01/2019 15:00:00 - 01/01/2019 16:00:00","BZN|FR","Without sequence","33.42","",""
"01/01/2019 16:00:00 - 01/01/2019 17:00:00","BZN|FR","Without sequence","39.8","",""
"01/01/2019 17:00:00 - 01/01/2019 18:00:00","BZN|FR","Without sequence","44.29","",""
"01/01/2019 18:00:00 - 01/01/2019 19:00:00","BZN|FR","Without sequence","62.65","",""
"01/01/2019 19:00:00 - 01/01/2019 20:00:00","BZN|FR","Without sequence","65.56","",""
"01/01/2019 20:00:00 - 01/01/2019 21:00:00","BZN|FR","Without sequence","61.27","",""
"01/01/2019 21:00:00 - 01/01/2019 22:00:00","BZN|FR","Without sequence","57.41","",""
"01/01/2019 22:00:00 - 01/01/2019 23:00:00","BZN|FR","Without sequence","58.65","",""
"01/01/2019 23:00:00 - 02/01/2019 00:00:00","BZN|FR","Without sequence","54.91","",""
"02/01/2019 00:00:00 - 02/01/2019 01:00:00","BZN|FR","Without sequence","53.11","",""
"02/01/2019 01:00:00 - 02/01/2019 02:00:00","BZN|FR","Without sequence","45.87","",""
"02/01/2019 02:00:00 - 02/01/2019 03:00:00","BZN|FR","Without sequence","39.15","",""
"02/01/2019 03:00:00 - 02/01/2019 04:00:00","BZN|FR","Without sequence","25.84","",""
"02/01/2019 04:00:00 - 02/01/2019 05:00:00","BZN|FR","Without sequence","28.36","",""
"02/01/2019 05:00:00 - 02/01/2019 06:00:00","BZN|FR","Without sequence","30.72","",""
