"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|IT-North","Without sequence","107.09","",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|IT-North","Without sequence","104.0","",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|IT-North","Without sequence","100.0","",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|IT-North","Without sequence","85.66","",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|IT-North","Without sequence","85.0","",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|IT-North","Without sequence","85.53","",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|IT-North","Without sequence","95.07","",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|IT-North","Without sequence","104.07","",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|IT-North","Without sequence","106.95","",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|IT-North","Without sequence","107.08","",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|IT-North","Without sequence","104.0","",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|IT-North","Without sequence","98.13","",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|IT-North","Without sequence","101.55","",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|IT-North","Without sequence","98.16","",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|IT-North","Without sequence","98.17","",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|IT-North","Without sequence","105.54","",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|IT-North","Without sequence","110.0","",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|IT-North","Without sequence","120.04","",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|IT-North","Without sequence","131.5","",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|IT-North","Without sequence","132.0","",""
