"MTU (CET/CEST)","Generation - Solar [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar [MW] Current / BZN|DE-LU","Generation - Wind Offshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore [MW] Current / BZN|DE-LU","Generation - Wind Onshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore [MW] Current / BZN|DE-LU"
"01.01.2024 00:00 - 01.01.2024 00:15","0","0","0","5331","5679","5679","30322","30471","30471"
"01.01.2024 00:15 - 01.01.2024 00:30","0","0","0","5284","5594","5594","30167","30245","30245"
"01.01.2024 00:30 - 01.01.2024 00:45","0","0","0","5241","5490","5490","30032","30010","30010"
"01.01.2024 00:45 - 01.01.2024 01:00","0","0","0","5195","5409","5409","29935","29902","29902"
"01.01.2024 01:00 - 01.01.2024 01:15","0","0","0","5132","5369","5369","29893","29651","29651"
"01.01.2024 01:15 - 01.01.2024 01:30","0","0","0","5085","5284","5284","29844","29555","29555"
"01.01.2024 01:30 - 01.01.2024 01:45","0","0","0","5048","5239","5239","29804","29401","29401"
"01.01.2024 01:45 - 01.01.2024 02:00","0","0","0","5007","5158","5158","29778","29240","29240"
"01.01.2024 02:00 - 01.01.2024 02:15","0","0","0","4960","5106","5106","29689","28921","28921"
"01.01.2024 02:15 - 01.01.2024 02:30","0","0","0","4942","5120","5120","29674","28924","28924"
"01.01.2024 02:30 - 01.01.2024 02:45","0","0","0","4921","5107","5107","29638","29086","29086"
"01.01.2024 02:45 - 01.01.2024 03:00","0","0","0","4906","5101","5101","29577","29186","29186"
"01.01.2024 03:00 - 01.01.2024 03:15","0","0","0","4816","4826","4826","29483","29119","29119"
"01.01.2024 03:15 - 01.01.2024 03:30","0","0","0","4783","4751","4751","29400","29096","29096"
"01.01.2024 03:30 - 01.01.2024 03:45","0","0","0","4743","4615","4615","29343","29115","29115"
"01.01.2024 03:45 - 01.01.2024 04:00","0","0","0","4706","4474","4474","29278","28984","28984"
"01.01.2024 04:00 - 01.01.2024 04:15","0","0","0","4653","4385","4385","29271","29015","29015"
"01.01.2024 04:15 - 01.01.2024 04:30","0","0","0","4600","4436","4436","29212","29219","29219"
"01.01.2024 04:30 - 01.01.2024 04:45","0","0","0","4545","4435","4435","29166","29190","29190"
"01.01.2024 04:45 - 01.01.2024 05:00","0","0","0","4487","4407","4407","29125","29057","29057"
"01.01.2024 05:00 - 01.01.2024 05:15","0","0","0","4426","4283","4283","29118","28852","28852"
"01.01.2024 05:15 - 01.01.2024 05:30","0","0","0","4383","4192","4192","29192","28838","28838"
"01.01.2024 05:30 - 01.01.2024 05:45","0","0","0","4333","4108","4108","29243","28835","28835"
"01.01.2024 05:45 - 01.01.2024 06:00","0","0","0","4289","4116","4116","29307","28863","28863"
"01.01.2024 06:00 - 01.01.2024 06:15","0","0","0","4253","4153","4153","29473","29192","29192"
"01.01.2024 06:15 - 01.01.2024 06:30","0","0","0","4216","4187","4187","29584","29780","29780"
"01.01.2024 06:30 - 01.01.2024 06:45","0","0","0","4179","4162","4162","29701","29795","29795"
"01.01.2024 06:45 - 01.01.2024 07:00","0","0","0","4144","4032","4032","29811","29729","29729"
"01.01.2024 07:00 - 01.01.2024 07:15","0","0","0","4152","4027","4027","29837","29713","29713"
"01.01.2024 07:15 - 01.01.2024 07:30","0","0","0","4147","3912","3912","29848","29689","29671"
"01.01.2024 07:30 - 01.01.2024 07:45","0","0","0","4141","3838","3838","29866","29728","29744"
"01.01.2024 07:45 - 01.01.2024 08:00","0","0","0","4137","3811","3793","29892","29760","29716"
"01.01.2024 08:00 - 01.01.2024 08:15","53","42","41","4126","3790","3714","30050","30010","30255"
"01.01.2024 08:15 - 01.01.2024 08:30","298","290","278","4159","3773","3685","30108","30141","30297"
"01.01.2024 08:30 - 01.01.2024 08:45","772","819","797","4166","3770","3687","30168","30249","30683"
"01.01.2024 08:45 - 01.01.2024 09:00","1422","1543","1499","4216","3760","3720","30189","30361","30639"
"01.01.2024 09:00 - 01.01.2024 09:15","2181","2365","2267","4225","3681","3659","30200","30444","30639"
"01.01.2024 09:15 - 01.01.2024 09:30","3048","3264","3193","4232","3716","3688","30169","30468","30520"
"01.01.2024 09:30 - 01.01.2024 09:45","3965","4202","4080","4234","3737","3688","30105","30474","30601"
"01.01.2024 09:45 - 01.01.2024 10:00","4826","5071","5009","4245","3771","3751","30080","30509","30716"
"01.01.2024 10:00 - 01.01.2024 10:15","5597","5860","5846","4250","3804","3545","30064","30550","30607"
"01.01.2024 10:15 - 01.01.2024 10:30","6319","6562","6608","4238","3868","3332","30106","30604","30617"
"01.01.2024 10:30 - 01.01.2024 10:45","6941","7151","7254","4203","3881","3296","30109","30631","30483"
"01.01.2024 10:45 - 01.01.2024 11:00","7430","7611","7902","4211","3894","3408","30150","30691","30792"
"01.01.2024 11:00 - 01.01.2024 11:15","7811","7995","8446","4219","3725","3351","30184","30725","30858"
"01.01.2024 11:15 - 01.01.2024 11:30","8112","8314","8897","4242","3759","3371","30259","30741","30684"
"01.01.2024 11:30 - 01.01.2024 11:45","8300","8506","9221","4246","3796","3597","30307","30734","30410"
"01.01.2024 11:45 - 01.01.2024 12:00","8368","8553","9329","4240","3831","3666","30374","30728","30509"
"01.01.2024 12:00 - 01.01.2024 12:15","8353","8513","9295","4237","3864","3538","30404","30699","30696"
"01.01.2024 12:15 - 01.01.2024 12:30","8236","8372","9121","4243","3870","3559","30406","30636","30753"
"01.01.2024 12:30 - 01.01.2024 12:45","8043","8186","8855","4251","3871","3644","30412","30576","30824"
"01.01.2024 12:45 - 01.01.2024 13:00","7785","7981","8489","4254","3870","3579","30449","30545","30876"
"01.01.2024 13:00 - 01.01.2024 13:15","7495","7742","8120","4259","3868","3370","30414","30468","30711"
"01.01.2024 13:15 - 01.01.2024 13:30","7152","7439","7582","4272","3874","3299","30234","30278","30400"
"01.01.2024 13:30 - 01.01.2024 13:45","6739","7048","7054","4287","3874","3400","30029","30076","29963"
"01.01.2024 13:45 - 01.01.2024 14:00","6241","6568","6420","4300","3867","3360","29785","29848","29626"
"01.01.2024 14:00 - 01.01.2024 14:15","5666","5929","5745","4306","3825","3413","29559","29561","29499"
"01.01.2024 14:15 - 01.01.2024 14:30","5011","5280","5024","4301","3874","3404","29350","29257","29345"
"01.01.2024 14:30 - 01.01.2024 14:45","4274","4526","4283","4292","3921","3330","29135","28952","29052"
"01.01.2024 14:45 - 01.01.2024 15:00","3510","3722","3576","4282","3970","3385","28907","28646","28741"
"01.01.2024 15:00 - 01.01.2024 15:15","2775","2950","2823","4278","4011","3469","28641","28370","28413"
"01.01.2024 15:15 - 01.01.2024 15:30","2055","2222","2129","4249","3998","3627","28341","28143","28257"
"01.01.2024 15:30 - 01.01.2024 15:45","1369","1545","1457","4208","3986","3729","28035","27917","27788"
"01.01.2024 15:45 - 01.01.2024 16:00","769","938","832","4161","3974","3885","27730","27686","27568"
"01.01.2024 16:00 - 01.01.2024 16:15","330","451","381","3986","3822","3970","27455","27492","27146"
"01.01.2024 16:15 - 01.01.2024 16:30","106","179","149","3995","3854","4127","27347","27401","26953"
"01.01.2024 16:30 - 01.01.2024 16:45","27","60","29","4033","3885","4082","27232","27308","26683"
"01.01.2024 16:45 - 01.01.2024 17:00","7","17","8","4047","3909","4177","27117","27212","26725"
"01.01.2024 17:00 - 01.01.2024 17:15","0","0","0","4262","4147","4232","27013","27141","26669"
"01.01.2024 17:15 - 01.01.2024 17:30","0","0","0","4281","4253","4373","26989","27147","26597"
"01.01.2024 17:30 - 01.01.2024 17:45","0","0","0","4364","4394","4450","26964","27157","26888"
"01.01.2024 17:45 - 01.01.2024 18:00","0","0","0","4437","4482","4496","26938","27177","27324"
"01.01.2024 18:00 - 01.01.2024 18:15","0","0","0","4506","4668","4548","26901","27151","27279"
"01.01.2024 18:15 - 01.01.2024 18:30","0","0","0","4511","4672","4510","26826","27033","27183"
"01.01.2024 18:30 - 01.01.2024 18:45","0","0","0","4504","4676","4466","26749","26920","26943"
"01.01.2024 18:45 - 01.01.2024 19:00","0","0","0","4563","4681","4491","26674","26813","26790"
"01.01.2024 19:00 - 01.01.2024 19:15","0","0","0","4553","4683","4524","26565","26696","26205"
"01.01.2024 19:15 - 01.01.2024 19:30","0","0","0","4542","4707","4566","26385","26565","25696"
"01.01.2024 19:30 - 01.01.2024 19:45","0","0","0","4520","4679","4604","26222","26451","25510"
"01.01.2024 19:45 - 01.01.2024 20:00","0","0","0","4497","4680","4648","26104","26376","25510"
"01.01.2024 20:00 - 01.01.2024 20:15","0","0","0","4469","4672","4668","25952","26271","25554"
"01.01.2024 20:15 - 01.01.2024 20:30","0","0","0","4436","4656","4666","25739","26120","25338"
"01.01.2024 20:30 - 01.01.2024 20:45","0","0","0","4398","4638","4730","25470","25920","25229"
"01.01.2024 20:45 - 01.01.2024 21:00","0","0","0","4367","4612","4790","25176","25694","25079"
"01.01.2024 21:00 - 01.01.2024 21:15","0","0","0","4318","4590","4727","24848","25428","24880"
"01.01.2024 21:15 - 01.01.2024 21:30","0","0","0","4275","4573","4606","24474","25129","24526"
"01.01.2024 21:30 - 01.01.2024 21:45","0","0","0","4222","4573","4609","24107","24829","24183"
"01.01.2024 21:45 - 01.01.2024 22:00","0","0","0","4186","4555","4624","23744","24534","23642"
"01.01.2024 22:00 - 01.01.2024 22:15","0","0","0","4129","4519","4641","23232","23996","23156"
"01.01.2024 22:15 - 01.01.2024 22:30","0","0","0","4041","4458","4560","22877","23556","22951"
