"MTU (CET/CEST)","Generation - Solar [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar [MW] Current / BZN|DE-LU","Generation - Wind Offshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore [MW] Current / BZN|DE-LU","Generation - Wind Onshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore [MW] Current / BZN|DE-LU"
"01.01.2023 00:00 - 01.01.2023 00:15","0","0","0","3469","2435","2435","34784","31243","31243"
"01.01.2023 00:15 - 01.01.2023 00:30","0","0","0","3477","2361","2361","35870","30116","30116"
"01.01.2023 00:30 - 01.01.2023 00:45","0","0","0","3481","2388","2388","35785","29250","29250"
"01.01.2023 00:45 - 01.01.2023 01:00","0","0","0","3486","2211","2211","35659","29635","29635"
"01.01.2023 01:00 - 01.01.2023 01:15","0","0","0","3382","2141","2141","35545","28852","28852"
"01.01.2023 01:15 - 01.01.2023 01:30","0","0","0","3387","2347","2347","35433","29651","29651"
"01.01.2023 01:30 - 01.01.2023 01:45","0","0","0","3395","2478","2478","35365","29492","29492"
"01.01.2023 01:45 - 01.01.2023 02:00","0","0","0","3397","2792","2792","35319","30594","30594"
"01.01.2023 02:00 - 01.01.2023 02:15","0","0","0","3403","2924","2924","35233","31020","31020"
"01.01.2023 02:15 - 01.01.2023 02:30","0","0","0","3380","3049","3049","35180","29717","29717"
"01.01.2023 02:30 - 01.01.2023 02:45","0","0","0","3393","2850","2850","35120","29597","29597"
"01.01.2023 02:45 - 01.01.2023 03:00","0","0","0","3406","2912","2912","35054","30148","30148"
"01.01.2023 03:00 - 01.01.2023 03:15","0","0","0","3421","2962","2962","34976","30311","30311"
"01.01.2023 03:15 - 01.01.2023 03:30","0","0","0","3398","3005","3005","34374","29512","29512"
"01.01.2023 03:30 - 01.01.2023 03:45","0","0","0","3407","3036","3036","34276","28651","28651"
"01.01.2023 03:45 - 01.01.2023 04:00","0","0","0","3415","3019","3019","34170","28757","28757"
"01.01.2023 04:00 - 01.01.2023 04:15","0","0","0","3421","2998","2998","34065","27783","27783"
"01.01.2023 04:15 - 01.01.2023 04:30","0","0","0","3429","2824","2824","33961","27806","27806"
"01.01.2023 04:30 - 01.01.2023 04:45","0","0","0","3433","2861","2861","33853","27859","27859"
"01.01.2023 04:45 - 01.01.2023 05:00","0","0","0","3442","2750","2750","33742","28114","28114"
"01.01.2023 05:00 - 01.01.2023 05:15","0","0","0","3445","2913","2913","33618","28407","28407"
"01.01.2023 05:15 - 01.01.2023 05:30","0","0","0","3452","2867","2867","33462","28057","28057"
"01.01.2023 05:30 - 01.01.2023 05:45","0","0","0","3458","2952","2952","33285","28268","28268"
"01.01.2023 05:45 - 01.01.2023 06:00","0","0","0","3462","2866","2866","33086","28111","28111"
"01.01.2023 06:00 - 01.01.2023 06:15","0","0","0","3462","2786","2786","33488","29039","29039"
"01.01.2023 06:15 - 01.01.2023 06:30","0","0","0","3463","2798","2798","33196","27575","27575"
"01.01.2023 06:30 - 01.01.2023 06:45","0","0","0","3464","2813","2813","32818","27081","27081"
"01.01.2023 06:45 - 01.01.2023 07:00","0","0","0","3467","2880","2880","32325","27195","27195"
"01.01.2023 07:00 - 01.01.2023 07:15","0","0","0","3473","2756","2756","32008","27439","27439"
"01.01.2023 07:15 - 01.01.2023 07:30","0","0","0","3474","2675","2675","31724","27322","27334"
"01.01.2023 07:30 - 01.01.2023 07:45","0","0","0","3475","2884","2884","31519","26943","27024"
"01.01.2023 07:45 - 01.01.2023 08:00","0","0","0","3481","3136","2997","31309","26933","27032"
"01.01.2023 08:00 - 01.01.2023 08:15","37","10","10","3484","2968","2834","31049","26858","27091"
"01.01.2023 08:15 - 01.01.2023 08:30","166","81","80","3485","2998","2728","30849","26471","26700"
"01.01.2023 08:30 - 01.01.2023 08:45","865","803","792","3485","3032","2711","30618","26430","26470"
"01.01.2023 08:45 - 01.01.2023 09:00","1614","1682","1628","3483","3071","2716","30375","26359","26334"
"01.01.2023 09:00 - 01.01.2023 09:15","2495","2708","2509","3485","3054","2639","30169","26064","26013"
"01.01.2023 09:15 - 01.01.2023 09:30","3463","3804","3616","3486","3087","2666","29840","25946","25882"
"01.01.2023 09:30 - 01.01.2023 09:45","4496","4914","4713","3487","3119","2889","29508","25826","25802"
"01.01.2023 09:45 - 01.01.2023 10:00","5541","6075","5665","3489","3149","2876","29183","25694","25215"
"01.01.2023 10:00 - 01.01.2023 10:15","6544","7229","6667","3488","3178","3005","28829","25500","24959"
"01.01.2023 10:15 - 01.01.2023 10:30","7500","8356","7470","3489","3366","2992","28422","25282","24690"
"01.01.2023 10:30 - 01.01.2023 10:45","8391","9381","8278","3490","3396","2976","28027","25079","24489"
"01.01.2023 10:45 - 01.01.2023 11:00","9172","10235","8802","3490","3420","3003","27637","24871","24477"
"01.01.2023 11:00 - 01.01.2023 11:15","9876","10908","9243","3492","3395","2970","27232","24640","24195"
"01.01.2023 11:15 - 01.01.2023 11:30","10430","11481","9571","3489","3411","3022","26747","24408","23667"
"01.01.2023 11:30 - 01.01.2023 11:45","10865","11915","9853","3489","3426","3020","26252","24163","23012"
"01.01.2023 11:45 - 01.01.2023 12:00","11146","12234","10052","3518","3594","3191","25728","24167","23041"
"01.01.2023 12:00 - 01.01.2023 12:15","11281","12446","10221","3548","3612","3227","25156","23891","22800"
"01.01.2023 12:15 - 01.01.2023 12:30","11245","12478","10441","3544","3630","3353","24566","23661","22825"
"01.01.2023 12:30 - 01.01.2023 12:45","11097","12314","10388","3542","3644","3419","23999","23426","22530"
"01.01.2023 12:45 - 01.01.2023 13:00","10802","12022","10136","3583","3660","3346","23449","23161","22293"
"01.01.2023 13:00 - 01.01.2023 13:15","10394","11655","9773","3582","3672","3340","22885","22829","21660"
"01.01.2023 13:15 - 01.01.2023 13:30","9803","11049","8942","3573","3682","3321","22332","22421","21100"
"01.01.2023 13:30 - 01.01.2023 13:45","9112","10280","8287","3574","3692","3445","21746","21982","20895"
"01.01.2023 13:45 - 01.01.2023 14:00","8304","9370","7628","3538","3846","3517","21134","21512","21070"
