PV,Wind OFFSH,Wind ONSH,Month,Holiday,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,
0.00,2878.06,5437.69,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,2840.90,5333.08,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,2798.74,5228.81,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,2752.50,5139.15,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,2691.82,5043.84,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,2638.89,4939.44,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,2577.96,4850.29,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,2521.52,4794.12,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,2433.63,4774.33,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,2329.89,4764.04,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,2216.14,4722.42,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,2092.70,4667.63,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,1969.81,4593.88,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,1868.74,4523.39,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,1767.66,4454.43,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,1665.30,4380.81,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,1570.42,4307.15,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,1499.43,4254.05,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.00,1424.45,4204.40,7,0,False,False,True,False,False,False,False,False,False,False,True,0.00
0.08,1346.91,4150.15,7,0,False,False,True,False,False,False,False,False,False,False,True,11.39
32.97,1292.14,4091.46,7,0,False,False,True,False,False,False,False,False,False,False,True,58.93
94.04,1259.04,4037.09,7,0,False,False,True,False,False,False,False,False,False,False,True,221.15
310.45,1221.93,3981.69,7,0,False,False,True,False,False,False,False,False,False,False,True,505.33
711.47,1184.88,3922.25,7,0,False,False,True,False,False,False,False,False,False,False,True,959.49
1263.89,1156.97,3879.03,7,0,False,False,True,False,False,False,False,False,False,False,True,1586.91
1949.70,1136.65,3781.54,7,0,False,False,True,False,False,False,False,False,False,False,True,2399.87
2798.74,1115.32,3680.86,7,0,False,False,True,False,False,False,False,False,False,False,True,3355.65
3860.36,1101.66,3586.81,7,0,False,False,True,False,False,False,False,False,False,False,True,4476.56
5118.49,1091.09,3480.53,7,0,False,False,True,False,False,False,False,False,False,False,True,5708.35
6580.38,1097.53,3383.08,7,0,False,False,True,False,False,False,False,False,False,False,True,7026.50
8184.18,1103.94,3294.99,7,0,False,False,True,False,False,False,False,False,False,False,True,8314.36
9907.21,1109.16,3209.56,7,0,False,False,True,False,False,False,False,False,False,False,True,9646.18
11722.38,1120.12,3101.98,7,0,False,False,True,False,False,False,False,False,False,False,True,10937.19
13596.36,1152.79,3023.13,7,0,False,False,True,False,False,False,False,False,False,False,True,12252.31
15454.75,1182.47,2963.28,7,0,False,False,True,False,False,False,False,False,False,False,True,13565.72
17293.98,1212.18,2917.98,7,0,False,False,True,False,False,False,False,False,False,False,True,14917.48
19092.53,1246.29,2899.78,7,0,False,False,True,False,False,False,False,False,False,False,True,16277.93
20870.18,1273.25,2883.85,7,0,False,False,True,False,False,False,False,False,False,False,True,17599.37
22575.00,1290.22,2867.39,7,0,False,False,True,False,False,False,False,False,False,False,True,18871.32
24193.48,1315.27,2859.89,7,0,False,False,True,False,False,False,False,False,False,False,True,20169.21
25733.58,1336.92,2860.20,7,0,False,False,True,False,False,False,False,False,False,False,True,21483.06
27194.05,1353.89,2879.49,7,0,False,False,True,False,False,False,False,False,False,False,True,22719.70
