"MTU (CET/CEST)","Generation - Solar [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar [MW] Current / BZN|DE-LU","Generation - Wind Offshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore [MW] Current / BZN|DE-LU","Generation - Wind Onshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore [MW] Current / BZN|DE-LU"
"01.01.2021 00:00 - 01.01.2021 00:15","0","0","0","569","379","121","4276","4652","2604"
"01.01.2021 00:15 - 01.01.2021 00:30","0","0","0","543","399","148","4158","4539","2551"
"01.01.2021 00:30 - 01.01.2021 00:45","0","0","0","520","429","152","4042","4382","2442"
"01.01.2021 00:45 - 01.01.2021 01:00","0","0","0","493","432","140","3933","4196","2334"
"01.01.2021 01:00 - 01.01.2021 01:15","0","0","0","483","460","180","3821","3989","2232"
"01.01.2021 01:15 - 01.01.2021 01:30","0","0","0","469","457","182","3708","3883","2156"
"01.01.2021 01:30 - 01.01.2021 01:45","0","0","0","458","444","172","3598","3744","2064"
"01.01.2021 01:45 - 01.01.2021 02:00","0","0","0","449","436","170","3488","3609","1985"
"01.01.2021 02:00 - 01.01.2021 02:15","0","0","0","438","434","179","3378","3547","1986"
"01.01.2021 02:15 - 01.01.2021 02:30","0","0","0","431","426","186","3267","3416","1904"
"01.01.2021 02:30 - 01.01.2021 02:45","0","0","0","423","387","169","3164","3318","1835"
"01.01.2021 02:45 - 01.01.2021 03:00","0","0","0","412","388","178","3063","3210","1772"
"01.01.2021 03:00 - 01.01.2021 03:15","0","0","0","404","383","177","2969","3185","1779"
"01.01.2021 03:15 - 01.01.2021 03:30","0","0","0","399","378","174","2903","3113","1744"
"01.01.2021 03:30 - 01.01.2021 03:45","0","0","0","395","370","162","2835","2964","1662"
"01.01.2021 03:45 - 01.01.2021 04:00","0","0","0","395","376","164","2764","2865","1619"
"01.01.2021 04:00 - 01.01.2021 04:15","0","0","0","393","378","162","2699","2799","1598"
