time,airdensity,clearskyshortwave_instant,dif_instant,directshortwaveradiation_instant,dni_instant,extraterrestrialradiation_instant,felttemperature,ghi_instant,gni_instant,gust,precipitation,relativehumidity,sealevelpressure,surfaceairpressure,temperature,winddirection,winddirection_80m,windspeed,windspeed_80m
2025-07-26 00:00,1.17,0.00,0.00,0.00,0.00,0.00,16.36,0.00,0.00,2.00,0.00,87,1016.95,967.38,15.70,94,17,0.73,1.11
2025-07-26 00:15,1.17,0.00,0.00,0.00,0.00,0.00,16.39,0.00,0.00,1.95,0.00,88,1016.94,967.17,15.70,65,3,0.69,1.17
2025-07-26 00:30,1.17,0.00,0.00,0.00,0.00,0.00,16.42,0.00,0.00,1.79,0.00,88,1016.92,966.87,15.70,31,351,0.66,1.19
2025-07-26 00:45,1.17,0.00,0.00,0.00,0.00,0.00,16.47,0.00,0.00,1.57,0.00,88,1016.91,966.58,15.71,12,344,0.63,1.16
2025-07-26 01:00,1.17,0.00,0.00,0.00,0.00,0.00,16.53,0.00,0.00,1.40,0.00,88,1016.90,966.37,15.74,4,340,0.59,1.14
2025-07-26 01:15,1.16,0.00,0.00,0.00,0.00,0.00,16.57,0.00,0.00,1.46,0.00,88,1016.88,966.30,15.78,359,338,0.64,1.26
2025-07-26 01:30,1.16,0.00,0.00,0.00,0.00,0.00,16.60,0.00,0.00,1.59,0.00,88,1016.87,966.31,15.83,355,336,0.68,1.40
2025-07-26 01:45,1.16,0.00,0.00,0.00,0.00,0.00,16.57,0.00,0.00,1.74,0.00,88,1016.85,966.35,15.82,350,335,0.72,1.53
2025-07-26 02:00,1.17,0.00,0.00,0.00,0.00,0.00,16.43,0.00,0.00,1.83,0.00,89,1016.84,966.37,15.72,346,335,0.77,1.63
2025-07-26 02:15,1.17,0.00,0.00,0.00,0.00,0.00,16.22,0.00,0.00,1.76,0.00,89,1016.76,966.38,15.52,342,338,0.76,1.60
2025-07-26 02:30,1.17,0.00,0.00,0.00,0.00,0.00,15.97,0.00,0.00,1.63,0.00,90,1016.68,966.38,15.30,338,342,0.76,1.56
2025-07-26 02:45,1.17,0.00,0.00,0.00,0.00,0.00,15.80,0.00,0.00,1.52,0.00,91,1016.60,966.39,15.15,335,346,0.75,1.51
2025-07-26 03:00,1.17,0.00,0.00,0.00,0.00,0.00,15.70,0.00,0.00,1.50,0.00,91,1016.51,966.38,15.07,333,349,0.75,1.46
2025-07-26 03:15,1.17,0.00,0.00,0.00,0.00,0.00,15.79,0.00,0.00,1.66,0.00,90,1016.43,966.38,15.17,334,350,0.76,1.45
